0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,label
4,a,-1d,2.810895331,3864,7.707643339,A,150,1,272.6755052,0,294.8447471,n,3,815,0,M,4.811357228,a7,,28.7129548,1
4,a,-1d,8.323729883,472,7.917313601,G,210,0,304.9301921,0,445.9739966,y,2,86,0,M,4.549435581,a7,,9.579165517,0
4,unknown,-1d,10.59600878,285,6.046689032,B,290,1,337.3697675,0,658.0075504,y,3,223,0,M,3.181311403,a5,,13.42967069,0
2,a,-1d,8.77000447,-376,7.295617976,D,90,1,219.5478461,0,292.8310382,n,2,90,0,D,4.483495508,a2,,71.63988437,0
1,a,86d,7.035761308,1331,5.654659572,A,300,0,342.2761865,3,227.7998981,n,3,297,0,M,2.963326225,a4,B,-8.991857437,1
3,a,-1d,1.585570857,96,7.028360731,D,170,1,284.056188,0,310.695079,y,1,165,0,M,3.674206704,a4,,-3.031966289,0
4,a,-1d,1.47940629,1364,5.819469927,I,110,0,240.9123259,0,260.9143951,n,3,104,0,M,3.036519946,a8,,43.29231045,0
1,a,337d,3.973981973,103,4.799047332,F,170,1,284.4690439,1,208.5015069,n,2,158,0,S,3.036519946,a4,C,37.52458402,0
5,unknown,-1d,4.375816204,-17,5.700992388,F,90,0,219.6847477,0,173.769436,n,2,85,1,S,3.036519946,a7,,88.78994228,0
1,a,-1d,0.483782846,-274,7.039147921,D,80,1,207.0498027,0,308.9690417,n,2,279,0,D,3.674206704,a5,,66.97977345,0
4,b,-1d,4.47478091,3764,7.75672761,D,20,0,71.23333226,0,220.7482032,n,1,,0,M,4.284457225,a6,,12.95918298,0
3,a,-1d,1.39851018,328,6.39342259,G,130,1,258.5711281,0,56.0872307,n,2,194,0,S,,a5,,41.26912973,0
1,unknown,-1d,1.833981186,1156,5.436256766,G,210,1,306.2944046,0,362.1440209,n,2,488,0,D,3.036519946,a5,,45.20030895,0
1,unknown,-1d,-1.218271206,1959,5.668606967,A,110,0,242.0634261,0,212.7516101,n,1,,0,M,3.394954396,a6,,10.622532,0
1,unknown,-1d,-0.836446368,2,5.970084154,B,30,0,112.1356151,0,432.9480448,n,2,,0,D,3.252971145,a7,,26.38464798,0
2,a,-1d,2.299545013,105,7.525907583,F,210,0,304.7825219,0,428.8741698,y,2,74,0,M,4.483495508,a8,,0.956078606,0
2,unknown,-1d,6.356637782,0,6.268363447,A,200,0,299.8084198,0,359.7611022,n,2,,0,S,3.109170867,a5,,72.13000597,0
1,unknown,-1d,0.849078745,6138,6.649243102,D,200,1,299.6836039,0,314.4843084,n,3,369,0,M,3.109170867,a5,,29.49942789,0
3,unknown,-1d,6.690906487,1794,7.976982215,E,200,0,301.1945013,0,173.8478944,y,2,13,0,M,4.746139593,a6,,36.22510531,0
2,a,-1d,8.10802384,67,4.887202838,I,280,0,333.2203425,0,298.6016146,n,0,330,0,S,2.81516435,a1,,35.03088846,0
2,a,203d,-0.213424194,235,7.385752399,B,20,0,70.60732923,1,324.6414348,n,1,136,0,M,4.083415334,a3,C,11.59524875,1
2,a,248d,4.854714881,54,6.756801076,B,30,1,111.01316,12,445.0761611,n,3,204,0,S,3.535312026,a4,A,11.91988426,0
2,a,-1d,2.081244599,15,6.219983277,C,290,0,336.8627673,0,379.955743,y,2,190,0,M,2.963326225,a1,,8.885730191,0
2,a,344d,3.226443453,103,6.024885109,B,50,1,161.8298969,2,225.0194725,n,2,122,0,S,3.324177188,a5,A,18.13539759,0
1,unknown,-1d,4.917759673,363,6.861113071,F,160,1,279.1157828,0,70.56159524,n,2,,0,D,4.284457225,a5,,38.80911534,1
12,unknown,-1d,9.158777912,0,5.986728788,I,300,1,341.0656356,0,557.6902145,n,1,745,0,D,2.963326225,a5,,40.6025408,1
2,a,-1d,4.128432254,285,6.832304288,B,190,0,294.0956597,0,231.6366241,n,3,284,0,S,3.535312026,a8,,45.77961344,0
5,a,198d,4.445171024,2,5.871587981,C,190,1,296.6369853,1,301.7889125,y,2,17,0,M,3.109170867,a11,A,46.68476414,0
2,a,-1d,5.968156946,-27,6.58748561,G,180,1,288.8110739,0,350.098166,n,2,216,0,M,3.109170867,a7,,21.13555072,0
2,a,-1d,-0.094102028,180,7.193707118,D,160,1,279.4404965,0,2.132207151,n,1,105,0,M,4.284457225,a4,,63.12458523,0
2,a,350d,3.093684917,1731,7.099800424,D,140,1,265.2183952,4,293.3500323,y,2,162,0,M,3.465325644,a5,A,36.25761556,0
3,unknown,-1d,8.489366298,-95,4.950490972,F,170,1,283.7946113,0,173.5203663,n,2,269,1,S,2.81516435,a6,,14.21823258,0
2,unknown,-1d,5.043636569,189,5.98697291,H,60,1,180.734718,0,9.994830667,n,3,106,0,M,3.036519946,a6,,2.535339772,0
8,unknown,-1d,4.784792874,720,7.041609803,D,250,0,323.5083074,0,194.4421615,n,1,168,0,M,3.811777842,a6,,11.49157102,0
1,a,-1d,1.652691449,221,6.015230496,G,70,0,193.8562396,0,111.2457828,y,2,,0,M,2.664353814,a7,,17.47893848,0
3,unknown,-1d,-1.201236152,110,7.404361731,B,170,0,284.9760554,0,196.1149744,n,3,1051,0,S,3.465325644,a6,,39.31842505,1
2,unknown,-1d,5.875888216,0,6.8452232,J,50,0,161.7543457,0,91.39474319,y,1,48,0,M,3.743149788,a6,,29.78431083,0
1,a,188d,6.493696066,514,7.912586293,E,170,1,283.8112929,1,42.53325347,n,2,573,0,D,4.876409691,a11,C,11.36004303,0
1,a,-1d,0.035949605,0,7.208456128,F,50,1,163.9203122,0,402.385055,n,2,135,0,M,4.015911887,a3,,11.85254661,0
2,a,-1d,1.734539004,75,5.657815226,F,200,0,299.0881244,0,535.9394843,y,3,97,0,M,3.324177188,a11,,41.15256942,0
1,a,2d,9.679594087,58,7.030277611,C,300,1,340.1765713,1,441.1909711,n,3,93,0,D,4.35101424,a1,C,3.883215248,0
4,a,-1d,9.015861032,3743,6.283258158,B,180,1,288.4504784,0,84.71559308,n,3,722,0,M,3.181311403,a5,,40.21152195,1
3,a,-1d,3.62270853,24,6.090469136,G,110,0,240.058738,0,232.3858359,n,2,271,0,M,4.083415334,a8,,27.91532837,0
2,b,-1d,3.739401014,61,7.538905739,E,230,1,314.2805057,0,20.6025336,n,1,197,0,D,4.941302535,a7,,16.56354195,0
3,a,-1d,2.899419414,146,6.964923524,B,50,1,161.8776172,0,55.34726975,n,2,419,0,D,4.680750939,a8,,37.11073556,1
2,a,191d,1.51135066,3283,5.894367075,A,120,0,248.9266479,2,119.025391,n,3,623,0,S,3.036519946,a8,B,8.745268964,1
5,unknown,-1d,0.224029589,-97,7.178655209,D,80,1,209.5371558,0,219.8656661,n,1,,0,M,3.674206704,a5,,8.616658752,0
1,unknown,-1d,6.136698781,434,7.020004759,G,200,1,301.8316826,0,353.17658,n,2,411,0,M,3.465325644,a5,,12.5150796,0
5,a,-1d,2.467017711,-462,7.351249681,F,90,1,219.455173,0,295.9555288,n,2,172,0,M,4.417357621,a2,,50.35538512,0
2,b,-1d,2.308356106,2409,6.175284902,G,110,1,241.4635209,0,39.203261,y,2,,0,S,3.324177188,a5,,17.61744822,0
4,,-1d,6.522806388,385,7.135904155,H,260,0,327.0409111,0,481.0224633,y,2,96,0,D,4.417357621,a8,,7.706857101,0
4,a,-1d,4.888310371,1927,7.142505911,D,160,0,280.8155892,0,108.0207478,y,1,322,0,D,4.35101424,a7,,38.68735455,0
2,unknown,-1d,0.547283514,257,7.604730812,D,50,1,162.152632,0,302.9675183,n,1,333,0,M,4.150667228,a6,,27.83675714,0
2,unknown,-1d,-1.896713123,103,6.390218775,D,110,0,242.0051638,0,187.3291945,n,2,95,0,M,3.743149788,a6,,23.35669083,0
1,unknown,-1d,0.202002143,119,5.671424099,I,150,0,270.8579884,0,253.8499522,n,2,51,0,S,2.432252128,a9,,16.10453293,0
2,a,-1d,5.585703362,7010,7.305400407,A,110,0,240.3367888,0,567.5714289,n,3,275,0,D,4.549435581,a3,,13.04449212,0
5,a,-1d,0.061621224,0,7.395766152,A,220,0,309.5238357,0,207.570183,n,3,360,0,D,4.615185103,a10,,18.92054308,1
2,b,-1d,3.162426665,6388,7.500282283,A,230,1,312.7328386,0,268.1445219,n,3,203,0,D,4.483495508,a7,,34.52653052,0
1,unknown,-1d,1.488674293,1660,6.882334315,D,60,1,179.7839506,0,295.4614691,n,2,259,0,M,4.015911887,a5,,8.332468817,0
1,a,-1d,1.288164757,238,7.026227874,D,130,1,257.0513268,0,229.5809172,y,2,3076,0,M,4.083415334,a3,,28.51904824,1
1,a,-1d,-0.467400166,0,6.915789116,G,90,1,222.3768889,0,222.6379633,n,2,,0,D,3.674206704,a7,,32.3294476,0
1,unknown,-1d,5.836219042,2138,7.282267053,C,170,0,286.1423468,0,366.6115312,n,1,,0,M,4.417357621,a6,,50.94453033,0
1,a,-1d,-0.516466764,-281,6.213332914,B,40,0,141.8134917,0,32.90775162,n,2,148,0,D,3.252971145,a8,,-1.871494347,0
4,unknown,-1d,4.528122186,1001,6.425360821,D,70,1,195.559549,0,218.1301474,n,2,201,0,M,4.083415334,a5,,30.00068751,0
1,unknown,-1d,8.255965515,-538,5.977695512,G,270,0,330.3581599,0,400.6127364,y,2,284,0,M,2.963326225,a5,,-5.882407144,0
2,a,-1d,3.196977842,167,6.243418246,B,140,0,263.2764434,0,169.5015597,n,2,,0,M,3.465325644,a8,,15.15280981,0
1,a,-1d,-0.286824417,1097,6.866095016,F,90,1,221.890833,0,175.3026657,y,2,180,0,M,3.948145828,a7,,45.99588349,0
1,unknown,-1d,6.075095389,7475,7.390926665,G,150,0,271.7494253,0,176.4467971,n,2,587,0,M,4.876409691,a5,,-6.241028038,0
1,a,-1d,6.653714719,973,7.725632959,D,140,0,265.288431,0,375.1008612,n,2,,0,D,3.60493303,a5,,42.54665596,1
2,a,-1d,12.83099917,787,6.428205542,D,240,1,317.7996381,0,649.4424036,n,1,257,0,M,2.81516435,a7,,19.57940353,0
6,b,-1d,3.110855774,861,7.096945387,D,90,0,219.7990269,0,66.10411899,n,2,49,0,M,4.150667228,a2,,18.77862048,0
2,unknown,-1d,8.232525903,0,7.157079637,F,260,1,326.9125534,0,469.4506957,y,2,626,0,M,4.284457225,a6,,-29.42679837,0
2,unknown,-1d,-1.207571897,-1110,7.689417855,E,60,1,178.2298766,0,315.2127938,n,2,143,0,M,4.941302535,a6,,26.77464259,0
1,unknown,-1d,8.882408873,895,6.334849984,G,40,1,138.3818538,0,85.476107,y,2,622,0,M,3.324177188,a6,,61.00418287,0
1,unknown,-1d,-2.473302095,0,5.802127228,G,50,1,160.1949485,0,110.8387878,n,2,,0,S,3.181311403,a5,,30.75702544,0
4,a,184d,1.102674689,1570,5.66558607,B,80,1,210.1886655,5,275.2785775,n,3,,0,M,2.963326225,a9,B,24.75969628,0
1,a,-1d,6.974310516,9421,5.69252662,A,250,0,322.6284394,0,479.6423905,n,3,372,0,S,2.963326225,a11,,7.690939824,1
1,a,-1d,-0.260306183,628,6.45539354,C,90,1,220.2347141,0,480.499183,n,3,97,0,M,3.535312026,a7,,30.31839005,0
2,a,-1d,0.322001645,2794,7.500529681,B,120,0,247.4406363,0,37.46302749,n,0,,0,D,4.284457225,a8,,61.25061035,1
5,unknown,-1d,5.207369148,1388,6.557418925,D,280,1,334.7585756,0,598.042822,n,2,119,0,M,3.252971145,a5,,35.27867373,0
2,a,-1d,7.922874898,92,6.909596357,D,300,0,337.884188,0,269.7867083,n,1,86,0,S,3.743149788,a7,,24.09998251,0
2,unknown,-1d,7.326446046,536,7.164166947,D,150,1,271.399444,0,63.55936698,n,2,164,0,M,4.015911887,a5,,4.733422436,0
2,a,-1d,5.72609503,4263,7.785109957,B,200,0,299.8171591,0,81.2661889,y,2,426,0,M,4.876409691,a11,,17.99607633,0
4,a,-1d,6.994025273,520,6.689056431,A,120,1,248.6804362,0,297.2810538,n,3,1307,0,M,3.181311403,a8,,39.41756898,1
3,a,-1d,4.338889671,28,7.330026359,B,200,1,299.3928506,0,154.7129621,y,2,131,0,S,3.465325644,a4,,11.66426338,0
1,a,-1d,6.729068176,-264,6.729476483,H,290,1,336.6363576,0,289.038813,n,2,,0,M,3.880105352,a1,,48.228755,0
2,unknown,-1d,12.02970518,475,7.10391976,G,300,1,342.617683,0,859.8781524,n,2,230,0,M,3.948145828,a5,,5.762653591,0
1,a,-1d,-0.869780984,262,7.383762988,E,80,0,209.3042492,0,69.47277388,n,3,335,0,M,5.135074848,a7,,34.55528761,0
3,a,333d,3.185591622,188,6.34926789,H,40,1,139.5594324,2,156.0000791,y,2,1046,0,M,3.324177188,a5,B,9.537105928,1
3,a,313d,5.800114557,-73,6.561413433,D,60,1,181.4480999,9,651.9590923,n,2,551,0,M,3.948145828,a4,A,25.3738398,0
1,unknown,-1d,3.621129256,-58,6.986300687,F,170,0,282.9247809,0,529.5684185,n,2,,0,S,4.150667228,a6,,26.29746276,0
4,unknown,-1d,3.537800197,162,6.514879795,G,60,0,180.2557328,0,193.5941469,n,2,166,0,M,3.948145828,a6,,59.06538436,0
3,a,184d,-1.012074868,1527,6.067213125,K,80,0,209.8474145,1,239.4077236,n,0,358,0,S,4.015911887,a9,B,24.36693466,1
2,unknown,-1d,-2.105424869,548,6.492138151,F,30,1,111.6918317,0,286.4796275,n,2,296,0,S,3.535312026,a6,,16.14447667,0
1,unknown,-1d,1.278092153,3110,6.319430087,A,200,1,300.1779535,0,211.9549917,n,3,133,0,S,2.889554101,a5,,30.62982774,0
4,a,-1d,1.738636303,216,5.882315257,B,190,0,295.5981891,0,65.84286685,n,3,141,0,M,3.465325644,a8,,69.94258981,0
2,unknown,-1d,0.784530942,536,5.211013626,D,90,1,220.1689169,0,497.8328627,n,2,208,0,M,3.036519946,a5,,7.439779353,0
3,a,-1d,1.411771516,437,7.049697054,G,130,1,258.9077911,0,166.70205,n,1,546,0,M,4.015911887,a5,,1.140408524,1
1,unknown,-1d,-3.742389323,0,7.954323804,D,50,1,162.3718878,0,130.0168942,n,2,226,0,M,4.876409691,a5,,42.70232353,0
2,a,-1d,0.422169224,1354,6.910539406,A,290,1,338.0438929,0,395.6294459,n,3,50,0,M,3.465325644,a1,,0.270597719,0
3,a,-1d,5.729991249,164,5.479414403,G,150,0,271.4250224,0,418.3812271,y,2,188,0,S,3.465325644,a7,,0.531194107,0
2,a,-1d,9.733690993,681,6.801014221,F,130,0,258.3709728,0,400.6869026,n,0,900,0,M,4.680750939,a8,,61.12944594,0
12,,-1d,6.122386299,268,7.120388771,B,290,0,336.9413591,0,41.09187703,n,3,54,0,S,3.324177188,a8,,30.03161919,0
4,b,-1d,-2.534424459,1688,5.981996896,D,70,1,195.668471,0,33.36166588,n,2,41,0,S,3.252971145,a7,,25.85424307,0
2,a,-1d,8.070746244,1369,8.377379684,E,280,0,336.1538048,0,561.836191,y,1,100,0,M,4.941302535,a1,,34.88689294,0
1,unknown,-1d,0.31173976,523,6.062990536,B,160,1,278.6633295,0,147.2207844,y,2,95,0,M,3.252971145,a5,,53.91403414,0
2,a,-1d,-0.255133774,430,5.399987119,B,50,0,162.4742017,0,250.5364187,n,2,450,0,S,2.58783141,a2,,38.53847219,0
3,a,-1d,0.844686198,655,6.224671778,A,30,0,111.6814212,0,147.1686612,n,3,389,0,M,3.465325644,a2,,36.63019313,0
2,unknown,-1d,5.639393106,3201,6.560968081,H,60,0,180.1208096,0,173.0614289,n,3,197,0,M,3.535312026,a6,,7.809402025,0
1,a,352d,6.921326541,619,4.809704097,D,140,1,266.3606933,1,329.2162377,y,1,720,0,S,2.58783141,a5,A,11.58294258,0
1,a,169d,0.091019033,1494,6.191107846,A,60,1,179.951847,2,103.7433994,n,3,,0,S,3.252971145,a5,B,96.2557939,0
1,a,75d,7.437032663,0,5.514769293,D,270,0,329.6980472,3,85.78216671,n,2,297,0,S,3.465325644,a10,A,7.919037564,1
1,a,-1d,5.35137277,-40,7.953013157,B,70,0,195.2110742,0,171.1146067,y,3,88,0,M,4.746139593,a7,,24.1448908,0
4,a,-1d,2.167277757,696,5.870992852,A,220,0,311.2286417,0,585.2555497,n,3,187,0,M,2.889554101,a8,,9.596115819,0
1,a,71d,7.140818042,20,6.240264506,I,280,0,332.1815583,1,481.3322238,n,2,,0,M,2.963326225,a1,A,36.75360753,0
2,a,-1d,0.646397409,1806,7.717781001,E,10,0,-0.315435224,0,36.0550112,n,2,148,0,D,5.518948058,a7,,28.96687464,0
2,a,127d,6.382993356,392,6.696288021,D,210,1,304.2047525,2,464.9224188,n,2,391,0,M,3.948145828,a11,A,44.51329235,0
2,a,500d,4.533137091,3355,5.713629227,A,140,0,264.4594333,1,627.9714201,n,3,181,0,D,3.674206704,a10,A,8.778258782,0
3,unknown,-1d,5.464065287,2357,6.289017095,D,180,0,289.2431634,0,162.7034588,n,0,66,0,D,3.60493303,a6,,23.32096426,0
5,a,-1d,6.175935558,147,5.240415557,H,220,0,309.9489858,0,260.184439,n,3,111,0,S,2.664353814,a6,,18.86441966,0
2,unknown,-1d,2.818755696,36,7.111934704,D,90,1,219.9080971,0,108.9612398,n,1,,0,S,3.811777842,a5,,1.12180742,0
5,a,-1d,-6.672978578,1625,5.839583563,K,20,0,68.91082934,0,198.5291812,n,2,180,0,S,2.664353814,a2,,43.82349587,0
1,a,-1d,-0.435063057,22,6.660713759,D,,1,265.5622924,0,205.343005,n,2,,0,M,3.036519946,a5,,-2.738522269,0
3,a,-1d,5.281574555,1524,5.877562966,D,200,1,302.366871,0,107.2000301,n,1,57,0,M,3.181311403,a11,,1.701143754,0
2,a,-1d,1.99223931,672,5.258247433,K,180,0,289.7274167,0,476.9182991,n,2,236,0,S,2.664353814,a3,,23.64263191,0
1,unknown,-1d,4.168201136,3798,6.224650605,D,60,0,180.3711537,0,145.7099264,n,1,19,0,S,3.252971145,a6,,-7.964165326,0
3,unknown,-1d,3.541591966,187,5.768451068,F,270,0,330.744635,0,164.0057429,y,2,381,0,M,3.036519946,a6,,29.55367391,0
3,a,-1d,3.631266028,-806,5.862505011,D,240,1,317.1898481,0,436.5793747,y,2,205,0,S,2.963326225,a7,,10.56020435,0
2,unknown,-1d,2.015603058,9103,8.136591038,A,200,0,300.1959426,0,64.34529477,y,3,1098,0,M,4.746139593,a6,,18.31656218,1
3,a,-1d,1.212463763,-69,5.867552015,A,150,1,269.9175688,0,20.43928085,n,3,,0,S,2.664353814,a2,,41.98428876,1
1,a,107d,4.530680966,189,6.22772711,B,10,0,-0.289328717,2,534.970019,n,0,238,0,M,3.394954396,a10,B,28.98815518,1
1,a,-1d,-4.97209569,231,4.907628443,K,80,1,208.168709,0,57.58643609,n,2,55,0,S,2.740113617,a5,,1.421209826,0
1,a,-1d,4.814856089,0,6.711769187,H,300,1,340.3795326,0,664.9162337,n,3,204,0,S,3.324177188,a4,,23.74058385,0
1,b,-1d,-3.887068435,6253,8.989400222,E,70,0,195.3395525,0,347.2707422,n,2,456,0,M,5.709258955,a9,,37.08818847,0
1,a,-1d,0.132311972,0,7.837522489,F,90,0,220.8266013,0,150.0351121,n,2,159,0,M,4.083415334,a4,,21.29837132,0
1,a,92d,-2.77191747,6574,8.239421012,F,80,0,208.1929028,3,476.4520146,n,3,495,0,M,4.284457225,a9,B,19.85384995,1
3,unknown,-1d,6.950312827,1018,6.085857083,G,160,0,277.2184888,0,122.2953075,n,3,325,0,M,3.465325644,a6,,12.76757628,0
1,a,186d,-0.147607099,5462,6.46412863,H,20,0,68.14769029,1,10.00524326,n,3,,0,S,3.252971145,a11,B,31.85243403,1
1,a,109d,5.609727113,2061,6.169266264,F,220,1,310.1393633,3,564.4098936,y,2,459,0,M,3.394954396,a6,A,3.416302407,1
1,a,479d,8.706512854,973,6.608663097,G,270,0,329.8356843,1,127.5581207,n,0,,0,D,4.083415334,a5,A,36.26287839,1
1,a,-1d,4.405792221,-306,5.042352247,C,80,0,209.5142644,0,15.97324597,y,2,342,0,M,2.58783141,a7,,35.19840207,0
1,a,338d,-0.223294064,478,6.047984532,D,70,1,196.1316706,1,166.448142,n,2,349,0,M,3.109170867,a5,A,24.90163811,0
1,a,-1d,4.96309908,390,5.066455716,A,70,0,196.4317409,0,419.3540365,n,3,325,0,S,2.58783141,a8,,39.2768538,1
1,a,-1d,3.950619151,0,6.488284083,C,180,1,290.4005021,0,88.84957579,y,1,311,0,M,3.674206704,a11,,-0.085262832,0
2,a,-1d,-1.63020785,7973,7.228303982,D,140,1,265.1805231,0,242.3161807,n,2,100,0,M,3.811777842,a5,,14.73659795,0
6,a,115d,0.691043246,1928,8.292501121,A,160,0,278.2370215,4,121.0632105,n,2,61,0,M,4.680750939,a3,A,4.743328367,0
1,a,170d,2.670737293,2749,6.981666201,F,80,1,207.855726,1,276.92013,n,2,104,0,S,3.535312026,a5,A,9.119887593,0
1,a,260d,-4.375518931,-487,6.512065096,B,120,1,249.5045536,5,34.46988061,n,3,358,0,S,3.394954396,a5,C,31.66089877,0
1,a,-1d,5.380063749,4321,6.940979981,D,50,0,162.7555864,0,3.840759572,n,2,657,0,M,3.394954396,a6,,50.78695347,1
3,b,-1d,6.630262224,6695,6.616608731,F,210,0,305.4310632,0,269.9567939,n,2,129,0,M,4.083415334,a11,,25.89240912,0
2,a,183d,1.764863492,2161,5.744175092,A,80,0,208.3848034,5,199.2666932,n,3,,0,M,3.324177188,a9,B,15.52618101,1
4,a,-1d,9.89433308,-443,5.633475903,D,210,0,304.3909382,0,,y,1,,0,M,2.664353814,a7,,-11.83821729,0
2,a,-1d,6.034698362,313,6.118639235,D,170,1,285.6259538,0,362.5444028,y,2,,0,D,3.324177188,a4,,-13.63906396,0
5,a,-1d,9.83077801,431,7.394339448,C,200,1,299.672539,0,180.1175994,n,1,12,0,M,4.284457225,a4,,55.14092451,0
1,unknown,-1d,5.155954102,-70,5.297753956,G,210,1,306.2015252,0,289.8607298,y,0,244,0,S,2.740113617,a5,,24.05432455,0
2,a,-1d,-0.171141641,290,7.069531842,A,80,0,208.8141019,0,17.04346475,y,3,50,0,M,4.284457225,a8,,-29.19306126,0
8,unknown,-1d,1.089034029,2144,7.840383412,D,200,1,299.8820007,0,434.737413,n,1,129,0,M,4.615185103,a5,,24.79816532,0
3,unknown,-1d,2.091126015,-125,5.928174996,B,90,1,220.4367064,0,295.7240223,n,2,67,0,S,2.740113617,a5,,54.08398335,0
1,b,182d,-2.844582469,367,8.070763683,,20,0,70.24200235,7,272.0063931,n,2,173,0,M,5.135074848,a9,A,22.97772032,0
1,a,-1d,7.335395036,3927,5.333592291,B,110,1,239.6461234,0,166.1542155,n,2,,0,S,2.889554101,a8,,14.99989324,0
2,unknown,-1d,3.619627047,417,7.432539381,B,160,1,279.3865557,0,475.7523015,n,3,375,0,M,4.549435581,a6,,36.78827792,0
1,unknown,-1d,-1.1009484,705,6.962298743,I,50,0,161.495677,0,63.43295262,n,1,504,0,M,4.284457225,a6,,31.34987669,1
3,a,-1d,7.922877808,9,6.307846321,A,220,1,309.8838145,0,347.6689228,n,3,82,0,M,3.674206704,a7,,69.327614,0
1,a,-1d,8.497429928,215,6.046979716,D,150,0,270.0055263,0,238.5011299,n,2,,0,M,3.109170867,a4,,42.87588443,0
1,a,55d,-5.08900264,1568,6.774927902,D,20,1,71.02733032,6,256.7749049,n,2,310,0,M,4.015911887,a6,C,40.28013244,1
1,a,-1d,7.346986151,-545,5.605100939,D,150,1,271.9857813,0,256.6972346,y,2,322,0,S,2.740113617,a5,,11.09119828,0
1,unknown,166d,-1.979829847,2986,7.419475812,A,10,0,0.152265681,3,332.4192266,n,0,1563,0,D,4.746139593,a6,B,19.16718527,0
1,a,-1d,1.442168707,0,5.722756447,B,60,0,180.8751896,0,207.0345019,n,2,161,0,S,2.664353814,a2,,-3.052179134,0
